Date,M2
2020-01-06,15494.2
2020-01-13,15460.5
2020-01-20,15414.6
2020-01-27,15301.8
2020-02-03,15367.0
2020-02-10,15371.6
2020-02-17,15402.6
2020-02-24,15337.7
2020-03-02,15503.4
2020-03-09,15638.6
2020-03-16,15833.9
2020-03-23,16208.0
2020-03-30,16630.5
2020-04-06,16787.7
2020-04-13,16936.3
2020-04-20,17196.3
2020-04-27,17335.4
2020-05-04,17551.6
2020-05-11,17689.9
2020-05-18,17822.0
2020-05-25,17797.2
2020-06-01,17929.0
2020-06-08,18041.4
2020-06-15,18129.6
2020-06-22,18122.4
2020-06-29,18176.0
2020-07-06,18358.7
2020-07-13,18367.6
2020-07-20,18272.1